source,table_name,row_identifier,target_column,check_id,issue_code,missing_class,missing_information_area,outlier_metric,outlier_consensus_score,cleaning_action,old_value,new_value,reason
general_dqa,lap,lap_id=16383,compound,compound_domain,INVALID_VALUE,,,,,SET_NULL,UNKNOWN,,Unknown compound value was set to NULL because it cannot be mapped deterministically.
general_dqa,lap,lap_id=16383,compound,compound_domain,INVALID_VALUE,,TYRE_INFORMATION,,,ADD_FLAG,NONE,TYRE_INFORMATION,TYRE_INFORMATION is affected after setting an invalid value to NULL.
general_dqa,lap,lap_id=16384,compound,compound_domain,INVALID_VALUE,,,,,SET_NULL,UNKNOWN,,Unknown compound value was set to NULL because it cannot be mapped deterministically.
general_dqa,lap,lap_id=16384,compound,compound_domain,INVALID_VALUE,,TYRE_INFORMATION,,,ADD_FLAG,NONE,TYRE_INFORMATION,TYRE_INFORMATION is affected after setting an invalid value to NULL.
general_dqa,lap,lap_id=16385,compound,compound_domain,INVALID_VALUE,,,,,SET_NULL,UNKNOWN,,Unknown compound value was set to NULL because it cannot be mapped deterministically.
general_dqa,lap,lap_id=16385,compound,compound_domain,INVALID_VALUE,,TYRE_INFORMATION,,,ADD_FLAG,NONE,TYRE_INFORMATION,TYRE_INFORMATION is affected after setting an invalid value to NULL.
general_dqa,lap,lap_id=16386,compound,compound_domain,INVALID_VALUE,,,,,SET_NULL,UNKNOWN,,Unknown compound value was set to NULL because it cannot be mapped deterministically.
general_dqa,lap,lap_id=16386,compound,compound_domain,INVALID_VALUE,,TYRE_INFORMATION,,,ADD_FLAG,NONE,TYRE_INFORMATION,TYRE_INFORMATION is affected after setting an invalid value to NULL.
general_dqa,lap,lap_id=16387,compound,compound_domain,INVALID_VALUE,,,,,SET_NULL,UNKNOWN,,Unknown compound value was set to NULL because it cannot be mapped deterministically.
general_dqa,lap,lap_id=16387,compound,compound_domain,INVALID_VALUE,,TYRE_INFORMATION,,,ADD_FLAG,NONE,TYRE_INFORMATION,TYRE_INFORMATION is affected after setting an invalid value to NULL.
general_dqa,lap,lap_id=16388,compound,compound_domain,INVALID_VALUE,,,,,SET_NULL,UNKNOWN,,Unknown compound value was set to NULL because it cannot be mapped deterministically.
general_dqa,lap,lap_id=16388,compound,compound_domain,INVALID_VALUE,,TYRE_INFORMATION,,,ADD_FLAG,NONE,TYRE_INFORMATION,TYRE_INFORMATION is affected after setting an invalid value to NULL.
general_dqa,lap,lap_id=16389,compound,compound_domain,INVALID_VALUE,,,,,SET_NULL,UNKNOWN,,Unknown compound value was set to NULL because it cannot be mapped deterministically.
general_dqa,lap,lap_id=16389,compound,compound_domain,INVALID_VALUE,,TYRE_INFORMATION,,,ADD_FLAG,NONE,TYRE_INFORMATION,TYRE_INFORMATION is affected after setting an invalid value to NULL.
general_dqa,lap,lap_id=16390,compound,compound_domain,INVALID_VALUE,,,,,SET_NULL,UNKNOWN,,Unknown compound value was set to NULL because it cannot be mapped deterministically.
general_dqa,lap,lap_id=16390,compound,compound_domain,INVALID_VALUE,,TYRE_INFORMATION,,,ADD_FLAG,NONE,TYRE_INFORMATION,TYRE_INFORMATION is affected after setting an invalid value to NULL.
general_dqa,track_status,track_status_id=131,,natural_key_1_unique,DUPLICATED_KEY,,,,,DROP_ROW,,,The DQA issue makes the row structurally unusable or unreliable for the cleaned schema.
general_dqa,track_status,track_status_id=132,,natural_key_1_unique,DUPLICATED_KEY,,,,,DROP_ROW,,,The DQA issue makes the row structurally unusable or unreliable for the cleaned schema.
general_dqa,track_status,track_status_id=144,,natural_key_1_unique,DUPLICATED_KEY,,,,,DROP_ROW,,,The DQA issue makes the row structurally unusable or unreliable for the cleaned schema.
general_dqa,track_status,track_status_id=145,,natural_key_1_unique,DUPLICATED_KEY,,,,,DROP_ROW,,,The DQA issue makes the row structurally unusable or unreliable for the cleaned schema.
general_dqa,track_status,track_status_id=499,,natural_key_1_unique,DUPLICATED_KEY,,,,,DROP_ROW,,,The DQA issue makes the row structurally unusable or unreliable for the cleaned schema.
