track_status_id,time_ms,status,message,session_id
171,3066270,5,Red,25
172,3526492,1,AllClear,25
173,3794341,2,Yellow,25
174,3797281,5,Red,25
175,4645560,1,AllClear,25
176,0,1,AllClear,26
177,6493346,2,Yellow,26
178,6500519,1,AllClear,26
179,0,1,AllClear,27
180,0,2,Yellow,28
181,477070,1,AllClear,28
182,3781414,2,Yellow,28
183,3790010,1,AllClear,28
184,3801515,6,VSCDeployed,28
185,3840484,7,VSCEnding,28
186,3850726,1,AllClear,28
187,5966397,2,Yellow,28
188,5980973,4,SCDeployed,28
189,6652042,1,AllClear,28
190,6787940,2,Yellow,28
191,6797838,1,AllClear,28
192,7566050,2,Yellow,28
193,7592398,1,AllClear,28
194,7765958,2,Yellow,28
195,7803983,6,VSCDeployed,28
196,7859312,7,VSCEnding,28
197,7870949,1,AllClear,28
198,0,2,Yellow,29
199,490862,1,AllClear,29
200,1286037,2,Yellow,29
201,1314486,1,AllClear,29
202,1591120,2,Yellow,29
203,1593913,1,AllClear,29
204,1829334,2,Yellow,29
205,1840829,1,AllClear,29
206,2885943,2,Yellow,29
207,2888085,1,AllClear,29
208,4579672,2,Yellow,29
209,4591369,1,AllClear,29
210,4663207,2,Yellow,29
211,4679916,1,AllClear,29
212,0,1,AllClear,30
213,3920560,2,Yellow,30
214,3938804,1,AllClear,30
215,8539389,2,Yellow,30
216,8540695,1,AllClear,30
217,8543311,2,Yellow,30
218,8548703,1,AllClear,30
219,8628889,2,Yellow,30
220,8636244,1,AllClear,30
221,8643459,2,Yellow,30
222,8647039,1,AllClear,30
223,8914381,2,Yellow,30
224,8919190,1,AllClear,30
225,8932985,2,Yellow,30
226,8956753,1,AllClear,30
227,8980179,2,Yellow,30
228,9001080,1,AllClear,30
229,0,1,AllClear,31
230,892233,2,Yellow,31
231,899921,1,AllClear,31
232,914227,2,Yellow,31
233,921057,1,AllClear,31
234,1190019,2,Yellow,31
235,1210458,1,AllClear,31
236,1342361,2,Yellow,31
237,1357199,1,AllClear,31
238,2401919,2,Yellow,31
239,2423987,1,AllClear,31
240,2761164,2,Yellow,31
241,2771475,1,AllClear,31
242,3068310,2,Yellow,31
243,3069373,1,AllClear,31
244,0,2,Yellow,32
245,389703,1,AllClear,32
246,2010711,2,Yellow,32
247,2020018,1,AllClear,32
248,3754600,2,Yellow,32
249,3758755,1,AllClear,32
250,3821022,2,Yellow,32
251,3833827,1,AllClear,32
252,3875505,2,Yellow,32
253,3880746,1,AllClear,32
254,5829369,2,Yellow,32
255,5835408,1,AllClear,32
256,7243862,2,Yellow,32
257,7247732,1,AllClear,32
258,7274067,2,Yellow,32
259,7275601,1,AllClear,32
260,0,1,AllClear,33
261,1932003,2,Yellow,33
262,1937833,1,AllClear,33
263,0,1,AllClear,34
264,3772943,2,Yellow,34
265,3795704,1,AllClear,34
266,6513645,6,VSCDeployed,34
267,6533725,7,VSCEnding,34
268,6546486,1,AllClear,34
269,9091754,2,Yellow,34
270,9095851,1,AllClear,34
271,0,1,AllClear,35
272,1317506,2,Yellow,35
273,1322820,5,Red,35
274,2616232,1,AllClear,35
275,4845606,2,Yellow,35
276,4853303,1,AllClear,35
277,4855460,2,Yellow,35
278,4860628,1,AllClear,35
279,0,2,Yellow,36
280,425555,1,AllClear,36
281,3745133,2,Yellow,36
282,3782255,4,SCDeployed,36
283,4207807,1,AllClear,36
284,551421,1,AllClear,37
285,836358,1,AllClear,38
286,4133051,4,SCDeployed,38
287,4555042,1,AllClear,38
288,4750057,6,VSCDeployed,38
289,4948753,7,VSCEnding,38
290,4960247,1,AllClear,38
291,6189876,6,VSCDeployed,38
292,6237781,7,VSCEnding,38
293,6251332,1,AllClear,38
294,0,1,AllClear,39
295,4490884,2,Yellow,39
296,4494498,1,AllClear,39
297,4502124,2,Yellow,39
298,4506474,1,AllClear,39
299,3111,2,Yellow,40
300,232277,1,AllClear,40
301,239214,2,Yellow,40
302,241194,1,AllClear,40
303,245123,2,Yellow,40
304,247302,1,AllClear,40
305,255014,2,Yellow,40
306,256350,1,AllClear,40
307,258118,2,Yellow,40
308,260445,1,AllClear,40
309,272642,2,Yellow,40
310,274814,1,AllClear,40
311,3655060,2,Yellow,40
312,3656400,1,AllClear,40
313,6689252,2,Yellow,40
314,6711290,1,AllClear,40
315,6723476,2,Yellow,40
316,6734727,1,AllClear,40
317,8204912,2,Yellow,40
318,8212398,1,AllClear,40
319,8213692,2,Yellow,40
320,8220909,1,AllClear,40
321,8359105,2,Yellow,40
322,8361483,1,AllClear,40
323,8589971,6,VSCDeployed,40
324,8747258,7,VSCEnding,40
325,8759667,1,AllClear,40
326,0,1,AllClear,41
327,2814357,2,Yellow,41
328,2824262,1,AllClear,41
329,3300412,2,Yellow,41
330,3304265,1,AllClear,41
331,4538971,2,Yellow,41
332,0,1,AllClear,42
333,1853856,2,Yellow,42
334,1872451,1,AllClear,42
335,3013042,2,Yellow,42
336,3014845,1,AllClear,42
337,4558449,2,Yellow,42
338,4570264,4,SCDeployed,42
339,5092688,5,Red,42
340,5661474,1,AllClear,42
341,6467276,2,Yellow,42
342,6502569,5,Red,42
343,7234203,1,AllClear,42
344,8543419,2,Yellow,42
345,8590025,6,VSCDeployed,42
346,8698871,7,VSCEnding,42
347,8709931,1,AllClear,42
348,9007808,6,VSCDeployed,42
349,9043353,7,VSCEnding,42
350,9058271,1,AllClear,42
